Unnamed: 0,question,answer
89,i hope that it does rain,you like the rain
90,you like the rain,the sky looks so clean after it rains i love it
91,the sky looks so clean after it rains i love it,i understand rain does make it smell cleaner
92,i understand rain does make it smell cleaner,i love most how it is at night after it rains
93,i love most how it is at night after it rains,how come
94,how come,you can see the stars so much more clearly after it rains
95,you can see the stars so much more clearly after it rains,i would love for it to rain today
96,i really want to go to the beach this weekend,that sounds like fun whats the weather going to be like
97,that sounds like fun whats the weather going to be like,i heard that its going to be warm this weekend
98,i heard that its going to be warm this weekend,is it going to be perfect beach weather
99,is it going to be perfect beach weather,i believe so
100,i believe so,good i hope it doesnt cool off this weekend
101,good i hope it doesnt cool off this weekend,i know i really want to go to the beach
102,i know i really want to go to the beach,but you know that california weather is really unpredictable
103,but you know that california weather is really unpredictable,youre right one minute its hot and then the next minute its cold
104,youre right one minute its hot and then the next minute its cold,i really wish the weather would just stay the same
105,i really wish the weather would just stay the same,i do too that way we can have our activities planned ahead of time
106,i do too that way we can have our activities planned ahead of time,yeah that would make things a lot easier
107,i would like to take a trip to the beach this weekend,a trip to the beach would be fun how is the weather going to be
108,a trip to the beach would be fun how is the weather going to be,the forecast says that it will be warm on the weekend
109,the forecast says that it will be warm on the weekend,so do you think itll be perfect weather for the beach
110,so do you think itll be perfect weather for the beach,it sounds like it will be
111,it sounds like it will be,i really hope it doesnt get cold
112,i really hope it doesnt get cold,that would ruin things i want to go so badly
113,that would ruin things i want to go so badly,the weather in california is unpredictable so you never know
114,the weather in california is unpredictable so you never know,that is true the weather is constantly changing
115,that is true the weather is constantly changing,it would be nice if the weather would never change
116,it would be nice if the weather would never change,that would be great then we could plan things sooner
117,that would be great then we could plan things sooner,true predictable weather would make life easier
118,it would be nice to go to the beach sometime this weekend,whats the weather going to be like i may want to go too
119,whats the weather going to be like i may want to go too,the weather this weekend is supposed to be warm
120,the weather this weekend is supposed to be warm,will it be good beach weather
121,will it be good beach weather,i think it will be
122,i think it will be,it wouldnt be good if it got cold this weekend
123,it wouldnt be good if it got cold this weekend,i want this trip to be perfect i hope it stays warm
124,i want this trip to be perfect i hope it stays warm,this california weather is so uncertain its impossible to know whatll happen
125,this california weather is so uncertain its impossible to know whatll happen,i know every day the weather seems different
126,i know every day the weather seems different,i would love it if it wasnt always so unpredictable
127,i would love it if it wasnt always so unpredictable,that would make it easier for us to make plans
128,hello may i speak to alice please,this is she hows it going
129,this is she hows it going,ive been trying to call you all day
130,ive been trying to call you all day,sorry about that i was cleaning up
131,sorry about that i was cleaning up,its okay
132,its okay,so what were you calling me about
133,so what were you calling me about,oh i just wanted to see if you wanted to hang out tomorrow
134,oh i just wanted to see if you wanted to hang out tomorrow,sure what did you want to do
135,sure what did you want to do,maybe we can go see a movie or something
136,maybe we can go see a movie or something,that sounds like fun lets do it
137,that sounds like fun lets do it,ill see you tomorrow then
138,ill see you tomorrow then,see you then goodbye
139,hi how are you is alice there,speaking whats up
140,speaking whats up,why havent you answered the phone
141,why havent you answered the phone,my bad i had chores to do
142,my bad i had chores to do,thats all right
143,thats all right,what was the reason for your call
144,what was the reason for your call,i want to do something tomorrow with you
145,i want to do something tomorrow with you,sounds good what did you have in mind
146,sounds good what did you have in mind,i was thinking about seeing a movie
147,i was thinking about seeing a movie,okay lets go see a movie
148,okay lets go see a movie,until then
149,until then,talk to you later
150,is alice available,youre talking to her
151,youre talking to her,ive called you a hundred times today
152,ive called you a hundred times today,i was busy doing something i apologize
153,i was busy doing something i apologize,no problem
154,no problem,did you need something
155,did you need something,do you want to do something tomorrow
156,do you want to do something tomorrow,is there somewhere special you wanted to go
157,is there somewhere special you wanted to go,how about a movie
158,how about a movie,a movie sounds good
159,a movie sounds good,call me tomorrow then
160,have you seen the new girl in school,no i havent
161,no i havent,shes really pretty
162,shes really pretty,describe her to me
163,describe her to me,shes not too tall
164,shes not too tall,well how tall is she
165,well how tall is she,shes about five feet even
166,shes about five feet even,what does she look like though
167,what does she look like though,she has pretty light brown eyes
168,she has pretty light brown eyes,i may know which girl youre talking about
169,i may know which girl youre talking about,so you have seen her around
170,so you have seen her around,yes i have
171,theres a new girl in school have you seen her yet,i havent seen her yet
172,i havent seen her yet,i think that she is very pretty
173,i think that she is very pretty,tell me how she looks
174,tell me how she looks,shes kind of short
175,shes kind of short,what height is she
176,what height is she,shes probably about five feet
177,shes probably about five feet,thats nice but tell me what she looks like
178,thats nice but tell me what she looks like,the first thing i noticed was her beautiful brown eyes
179,the first thing i noticed was her beautiful brown eyes,i think i mightve bumped into her before
180,i think i mightve bumped into her before,are you telling me that youve seen her before
181,are you telling me that youve seen her before,i believe so
182,have you met the new girl,no have you
183,no have you,shes one of the prettiest girls at the school
184,shes one of the prettiest girls at the school,what does she look like
185,what does she look like,well shes quite short
186,well shes quite short,how tall would you say that she is
187,how tall would you say that she is,i would say shes only five feet
188,i would say shes only five feet,what about her facial features
189,what about her facial features,she has light brown eyes absolutely beautiful
190,she has light brown eyes absolutely beautiful,i think i know who youre talking about
191,i think i know who youre talking about,have you seen her
192,why werent you at school yesterday,i wasnt really feeling well
193,i wasnt really feeling well,what was wrong with you
194,what was wrong with you,my stomach was upset
195,my stomach was upset,do you feel better now
196,do you feel better now,i dont really feel too well yet
197,i dont really feel too well yet,do you want anything to make you feel better
198,do you want anything to make you feel better,no thanks i already took some medicine
199,no thanks i already took some medicine,i hope you feel better
200,i hope you feel better,thank you
201,what reason do you have for missing school,i was sick
202,i was sick,how were you sick
203,how were you sick,i had a stomachache
204,i had a stomachache,did it get any better
205,did it get any better,im still feeling under the weather
206,im still feeling under the weather,would you like anything for your stomach
207,would you like anything for your stomach,i took something earlier
208,i took something earlier,get better
209,get better,thanks a lot
210,why didnt you go to school yesterday,i stayed home because i wasnt feeling well
211,i stayed home because i wasnt feeling well,what was your problem
212,what was your problem,my stomach was bothering me
213,my stomach was bothering me,are you feeling any better
214,are you feeling any better,im still feeling a little sick
215,im still feeling a little sick,im going to the store would you like any pepto bismol
216,im going to the store would you like any pepto bismol,thats okay
217,thats okay,i hope you feel better
218,did you hear the good news,no i havent
219,no i havent,i got a promotion at my job
220,i got a promotion at my job,did you really
221,did you really,seriously i am so excited
222,seriously i am so excited,well congratulations
223,well congratulations,thank you
224,thank you,im so happy for you
225,im so happy for you,really
226,really,yes you really deserved this
227,yes you really deserved this,you think so
228,you think so,yes good for you
229,have you heard my good news,you havent told me anything yet
230,you havent told me anything yet,i got a promotion at work earlier this week
231,i got a promotion at work earlier this week,is that right
232,is that right,its the truth i am really happy
233,its the truth i am really happy,congratulations on your promotion
234,congratulations on your promotion,thank you very much
235,thank you very much,i am really excited for you
236,i am really excited for you,are you really
237,are you really,im serious you deserved this promotion
238,im serious you deserved this promotion,is that what you really think
239,is that what you really think,yes i do
240,i havent told you what happened yet have i,i havent heard anything
241,i havent heard anything,my boss offered me a promotion and i took it
242,my boss offered me a promotion and i took it,are you serious
243,are you serious,yes i am really excited
244,yes i am really excited,thats great congratulations
245,thats great congratulations,i appreciate that
246,i appreciate that,you have no idea how happy i am for you
247,you have no idea how happy i am for you,for real
248,you look really nice today,thank you i just got this outfit the other day
249,thank you i just got this outfit the other day,really where did you get it
250,really where did you get it,i got it from macys
251,i got it from macys,its really nice
252,its really nice,thanks again you look nice today too
253,thanks again you look nice today too,thank you i just got these shoes today
254,thank you i just got these shoes today,really what kind of shoes are they
255,really what kind of shoes are they,these are called all star chuck taylors
256,these are called all star chuck taylors,i really like those how much did they cost
257,i really like those how much did they cost,they were about forty dollars
258,they were about forty dollars,i think im going to go buy myself a pair
259,i absolutely love what youre wearing today,you do i just bought this outfit a couple days ago
260,you do i just bought this outfit a couple days ago,seriously it looks really nice on you where did you buy it from
261,seriously it looks really nice on you where did you buy it from,i bought it from the macys at the santa anita mall
262,i bought it from the macys at the santa anita mall,i really like that outfit
263,i really like that outfit,thanks i think you look nice today too
264,thanks i think you look nice today too,thank you i just bought these new shoes earlier today
265,thank you i just bought these new shoes earlier today,those are nice what are they
266,those are nice what are they,these are some chucks
267,these are some chucks,those are great how much were they
268,those are great how much were they,i got them for forty
269,i got them for forty,i think i might go and find me my own pair of chucks
270,i think that you look very cute today,is that right this is a brand new outfit
271,is that right this is a brand new outfit,what store did you get it from
272,what store did you get it from,i went to macys and picked it out
273,i went to macys and picked it out,i love your outfit right now
274,i love your outfit right now,well i think you look nice today too
275,well i think you look nice today too,thanks i found these new shoes earlier at the store
276,thanks i found these new shoes earlier at the store,i think that those are some really nice shoes what kind are they
277,i think that those are some really nice shoes what kind are they,these are chucks
278,these are chucks,your shoes look really nice how much did you get them for
279,your shoes look really nice how much did you get them for,they only cost me about forty dollars
280,tell me what do you enjoy doing in your spare time,i enjoy drawing and painting
281,i enjoy drawing and painting,you know how to draw and paint
282,you know how to draw and paint,yes i do
283,yes i do,when did you learn how to do that
284,when did you learn how to do that,i learned back in high school
285,i learned back in high school,oh so you took an art class
286,oh so you took an art class,yeah i loved that class
287,yeah i loved that class,i see that youre pretty talented
288,i see that youre pretty talented,thank you very much
289,thank you very much,i wish i had a talent like that
290,i wish i had a talent like that,im sure you have a talent its just hidden
291,what kinds of things do you like to do,ive always liked to draw and paint
292,ive always liked to draw and paint,i didnt know you knew how to draw and paint
293,i didnt know you knew how to draw and paint,i do it every once in a while
294,i do it every once in a while,how long have you known how to do that
295,how long have you known how to do that,i first learned how to do it in high school
296,i first learned how to do it in high school,did you take some sort of art class or something
297,did you take some sort of art class or something,that was my favorite class
298,that was my favorite class,you have got to be talented
299,you have got to be talented,thanks
300,thanks,if only i was talented
301,if only i was talented,you have a talent you just dont know what it is yet
302,are there any hobbies you do,when i have time i sometimes draw and paint
303,when i have time i sometimes draw and paint,oh you actually do that
304,oh you actually do that,every so often i do
305,every so often i do,did you always know how to draw and paint
306,did you always know how to draw and paint,i was taught in high school how to draw and paint
307,i was taught in high school how to draw and paint,you had an art class
308,you had an art class,exactly it was my favorite class
309,exactly it was my favorite class,well its good that youre so talented
310,well its good that youre so talented,i appreciate that
311,i appreciate that,talent is a great thing i wish i had one
312,whats your favorite movie,my favorite movie is superbad
313,my favorite movie is superbad,oh why is that
314,oh why is that,its the funniest movie that ive ever seen
315,its the funniest movie that ive ever seen,thats true it is a very funny movie
316,thats true it is a very funny movie,youve seen it before
317,youve seen it before,yes i saw that movie the first day it came out in theaters
318,yes i saw that movie the first day it came out in theaters,didnt you laugh through the whole movie i did
319,didnt you laugh through the whole movie i did,me too that movie brought tears to my eyes
320,me too that movie brought tears to my eyes,mine too
321,mine too,i have it on dvd at my house if you want to come over and watch it
322,i have it on dvd at my house if you want to come over and watch it,sure lets go
323,which movie is your favorite to watch,i have to say my favorite movie is superbad
324,i have to say my favorite movie is superbad,is that right why
325,is that right why,honestly it is one of the funniest movies ive seen in a long time
326,honestly it is one of the funniest movies ive seen in a long time,youre right that movie is hilarious
327,youre right that movie is hilarious,i didnt think you saw that movie
328,i didnt think you saw that movie,i went to see it the day it came out
329,i went to see it the day it came out,i was laughing through the whole movie
330,i was laughing through the whole movie,i couldnt help laughing either
331,i couldnt help laughing either,same here
332,same here,i bought the movie would you like to come to my house and watch it
333,i bought the movie would you like to come to my house and watch it,of course
334,out of every movie that youve seen which one is your favorite,im going to have to say that superbad is the best movie ever
335,im going to have to say that superbad is the best movie ever,you think so how come
336,you think so how come,well superbad is super funny
337,well superbad is super funny,youre not lying i found that movie absolutely hilarious
338,youre not lying i found that movie absolutely hilarious,i didnt know that you saw superbad before
339,i didnt know that you saw superbad before,i made sure to be in line to see it the first day it came out
340,i made sure to be in line to see it the first day it came out,i couldnt keep from laughing throughout the whole movie
341,i couldnt keep from laughing throughout the whole movie,i was laughing hysterically the whole time my stomach muscles hurt afterwards
342,i was laughing hysterically the whole time my stomach muscles hurt afterwards,thats exactly how i felt
343,thats exactly how i felt,i got the movie when it came out on dvd do you want to come over
344,what type of music do you like to listen to,i like listening to different kinds of music
345,i like listening to different kinds of music,like what for instance
346,like what for instance,i enjoy rock and rb
347,i enjoy rock and rb,why is that
348,why is that,i like the different instruments that they use
349,i like the different instruments that they use,thats a good reason to like something
350,thats a good reason to like something,yeah i think so too
351,what kind of music do you enjoy listening to,i enjoy listening to all kinds of music
352,i enjoy listening to all kinds of music,what kind
353,what kind,i like to listen to rock and rb
354,i like to listen to rock and rb,why do you like that type of music
355,why do you like that type of music,i like the kinds of instruments that they use
356,i like the kinds of instruments that they use,i think thats an excellent reason to like something
357,i think thats an excellent reason to like something,thanks i feel the same way
358,what is your favorite kind of music,i listen to various types of music
359,i listen to various types of music,what genres
360,what genres,i enjoy listening to both rock and rb
361,i enjoy listening to both rock and rb,what interests you in that type of music
362,what interests you in that type of music,i enjoy the different types of instruments that they use
363,i enjoy the different types of instruments that they use,that is a perfect reason to like a certain kind of music
364,did you go to the basketball game on friday,no i couldnt make it
365,no i couldnt make it,you missed a really good game
366,you missed a really good game,oh really who won
367,oh really who won,our school did they played really well
368,our school did they played really well,too bad i was busy i really wanted to go
369,too bad i was busy i really wanted to go,yeah you should have it was really exciting
370,yeah you should have it was really exciting,so what was the score
371,so what was the score,the score was 10198
372,the score was 10198,man that was a really close game
373,man that was a really close game,thats what made it so great
374,thats what made it so great,ill make sure and make it to the next one
375,were you able to attend friday nights basketball game,i was unable to make it
376,i was unable to make it,you should have been there it was intense
377,you should have been there it was intense,is that right who ended up winning
378,is that right who ended up winning,our team was victorious
379,our team was victorious,i wish i was free that night im kind of mad that i didnt go
380,i wish i was free that night im kind of mad that i didnt go,it was a great game
381,it was a great game,what was the score at the end of the game
382,what was the score at the end of the game,our team won 10198
383,our team won 10198,sounds like it was a close game
384,sounds like it was a close game,thats the reason it was such a great game
385,thats the reason it was such a great game,the next game i will definitely be there
386,i was meaning to ask you if you saw the basketball game on friday,i wanted to go but i couldnt
387,i wanted to go but i couldnt,it was a great game
388,it was a great game,its too bad that i couldnt make it who won
389,its too bad that i couldnt make it who won,our team played hard and won
390,our team played hard and won,i really wish i went to the game
391,i really wish i went to the game,it was the best game ever
392,it was the best game ever,so tell me the final score
393,so tell me the final score,the other team lost by three points 10198
394,the other team lost by three points 10198,it mustve been a close game
395,it mustve been a close game,it really was you shouldve gone
396,what are you doing this weekend,im going to the movies with a friend how about you
397,im going to the movies with a friend how about you,im not sure yet
398,im not sure yet,well did you want to go see a movie with me
399,well did you want to go see a movie with me,what movie are you going to see
400,what movie are you going to see,im not sure yet is there something you want to see
401,im not sure yet is there something you want to see,theres nothing i can think of
402,theres nothing i can think of,so did you want to go
403,so did you want to go,no thanks maybe another time
404,no thanks maybe another time,okay sounds good
405,do you know what youre going to do this weekend,i am going to see a movie with a friend of mine what about you
406,i am going to see a movie with a friend of mine what about you,i dont know
407,i dont know,would you like to see a movie with me and my friend
408,would you like to see a movie with me and my friend,do you know what movie youre going to watch
409,do you know what movie youre going to watch,i dont know but was there a certain movie you wanted to see
410,i dont know but was there a certain movie you wanted to see,none that i can think of
411,none that i can think of,well would you like to go
412,well would you like to go,thank you for inviting me but i think ill pass
413,thank you for inviting me but i think ill pass,all right another time then
414,you have any ideas as to what you want to do this weekend,im going to the movie theater with my friend what are you going to do
415,im going to the movie theater with my friend what are you going to do,im not quite sure yet
416,im not quite sure yet,how about you see a movie with me and my friend
417,how about you see a movie with me and my friend,what movie are you and your friend planning on watching
418,what movie are you and your friend planning on watching,not sure is there a movie out that catches your eye
419,not sure is there a movie out that catches your eye,no good movies come to mind
420,no good movies come to mind,have you decided whether or not you would like to go
421,have you decided whether or not you would like to go,no thanks maybe another time
422,did you go to school today,yeah i went to school today were you there
423,yeah i went to school today were you there,no i didnt go ive been sick
424,no i didnt go ive been sick,that sucks did you want the assignments from english class
425,that sucks did you want the assignments from english class,that would be nice thank you
426,that would be nice thank you,no problem youre welcome
427,no problem youre welcome,i will be glad to do the same for you when youre sick
428,i will be glad to do the same for you when youre sick,well thank you i hope to see you at school tomorrow
429,have you attended school today,i attended school today did you
430,i attended school today did you,i wasnt able to attend school because i was feeling ill
431,i wasnt able to attend school because i was feeling ill,im sorry to hear that would you like the assignments from english class
432,im sorry to hear that would you like the assignments from english class,i would really appreciate that thanks
433,i would really appreciate that thanks,its no trouble at all
434,its no trouble at all,if you get sick ill return the favor
435,if you get sick ill return the favor,thanks see you at school tomorrow if you feel better
436,have you gone to school today,i went to school today did you go to school
437,i went to school today did you go to school,i couldnt go to school today i was sick
438,i couldnt go to school today i was sick,thats horrible id be happy to give you the assignments from english class
439,thats horrible id be happy to give you the assignments from english class,thank you very much thats kind of you
440,thank you very much thats kind of you,dont mention it
441,dont mention it,when you miss a day of school ill be happy to give you the english assignments
442,did you hear the news,what happened
443,what happened,our cousin went into labor and had her baby last week
444,our cousin went into labor and had her baby last week,she did why didnt anyone tell me
445,she did why didnt anyone tell me,i wouldve thought that somebody would have told you
446,i wouldve thought that somebody would have told you,no i had no idea
447,no i had no idea,well she did her baby was 8 pounds 6 ounces
448,well she did her baby was 8 pounds 6 ounces,oh my god thats great
449,oh my god thats great,are you going to go and visit her and the baby
450,are you going to go and visit her and the baby,i think that i might
451,i think that i might,good i just thought id let you know
452,good i just thought id let you know,thanks for telling me
453,have you heard what happened,heard what
454,heard what,debrah already had her baby
455,debrah already had her baby,i didnt know that
456,i didnt know that,i thought you knew
457,i thought you knew,i honestly didnt know
458,i honestly didnt know,the baby was 8 pounds 6 ounces
459,the baby was 8 pounds 6 ounces,thats good to hear
460,thats good to hear,will you go and visit them
461,will you go and visit them,of course i will
462,of course i will,i just wanted to give you the good news
463,i just wanted to give you the good news,thanks for letting me know
464,have you heard the news,i havent heard anything
465,i havent heard anything,debrah had her baby last week
466,debrah had her baby last week,nobody told me
467,nobody told me,i thought you heard
468,i thought you heard,i really wasnt told anything
469,i really wasnt told anything,she was a cute 8 pounds 6 ounces
470,she was a cute 8 pounds 6 ounces,wow how exciting
471,wow how exciting,i know you should really go and see her and the baby
472,i know you should really go and see her and the baby,of course i will
473,of course i will,i just wanted to let you know what happened
474,did you go to school today,of course did you
475,of course did you,i didnt want to so i didnt
476,i didnt want to so i didnt,thats sad but have you gone to the movies recently
477,thats sad but have you gone to the movies recently,thats a switch
478,thats a switch,im serious have you
479,im serious have you,no i havent why
480,no i havent why,i really want to go to the movies this weekend
481,i really want to go to the movies this weekend,so go then
482,so go then,i really dont want to go by myself
483,i really dont want to go by myself,well anyway do you plan on going to school tomorrow
484,well anyway do you plan on going to school tomorrow,no i think im going to go to the movies
485,did you make it to school today,i always do did you go to school today
486,i always do did you go to school today,no i didnt
487,no i didnt,you should have but have you seen any movies lately
488,you should have but have you seen any movies lately,that was an odd change of subject
489,that was an odd change of subject,maybe it was but answer the question
490,maybe it was but answer the question,no not recently
491,no not recently,i want to go to see a movie this weekend
492,i want to go to see a movie this weekend,whats stopping you then
493,whats stopping you then,i dont want to go alone
494,i dont want to go alone,so will you be at school tomorrow
495,so will you be at school tomorrow,no i want to go to the movies instead
496,did you even bother to go to school today,yeah i went did you go
497,yeah i went did you go,no i didnt feel like it
498,no i didnt feel like it,thats nice have you been to the movies lately
499,thats nice have you been to the movies lately,no but that was a random change of subject
500,no but that was a random change of subject,it may have been random but have you
501,it may have been random but have you,i havent lately
502,i havent lately,i would love to catch a movie this weekend
503,i would love to catch a movie this weekend,so then why dont you just go
504,so then why dont you just go,i dont want to see a movie by myself
505,i dont want to see a movie by myself,okay so are you going to school tomorrow
506,thanks for coming to see me today,its no problem i was really missing you anyway
507,its no problem i was really missing you anyway,i missed you too
508,i missed you too,why havent you tried to come see me then
509,why havent you tried to come see me then,ive been really busy
510,ive been really busy,doing what
511,doing what,working
512,working,i wouldve come to see you sooner but ive been busy too
513,i wouldve come to see you sooner but ive been busy too,what have you been doing
514,what have you been doing,ive been working too
515,ive been working too,well regardless im very happy that you came to see me
516,well regardless im very happy that you came to see me,i am too
517,im really glad that you came to see me,i had to i was missing you a lot
518,i had to i was missing you a lot,i was missing you too
519,i was missing you too,so why havent you visited me
520,so why havent you visited me,ive actually been busy lately
521,ive actually been busy lately,what have you been doing
522,what have you been doing,ive just been working really hard
523,ive just been working really hard,ive also been busy
524,ive also been busy,tell me what youve been doing
525,tell me what youve been doing,basically ive been working too
526,basically ive been working too,well whatever im glad you came
527,well whatever im glad you came,so am i
528,im really happy that you came to visit me,i really missed you a lot
529,i really missed you a lot,ive been missing you like crazy
530,ive been missing you like crazy,i dont understand why you havent come to visit me
531,i dont understand why you havent come to visit me,lately ive been quite busy
532,lately ive been quite busy,tell me what youve been up to
533,tell me what youve been up to,ive really been working a lot lately
534,ive really been working a lot lately,ive been pretty busy myself
535,ive been pretty busy myself,so what have you been up to
536,so what have you been up to,ive just been working a lot
537,ive just been working a lot,whatever the reason may be im glad you visited me
538,hey did you hear about jessicas party this weekend,yeah but im still waiting for my invitation
539,yeah but im still waiting for my invitation,oh really she gave me mine earlier today
540,oh really she gave me mine earlier today,well shell probably just give me my invitation later on today
541,well shell probably just give me my invitation later on today,yeah so are you planning on going
542,yeah so are you planning on going,i think so it sounds like its going to be a lot of fun
543,i think so it sounds like its going to be a lot of fun,it really does i cant wait
544,it really does i cant wait,what time does the party start
545,what time does the party start,it starts at 8 oclock
546,it starts at 8 oclock,oh well how many people has she given invites to so far
547,oh well how many people has she given invites to so far,im not sure but i dont think shes given out that many
548,im not sure but i dont think shes given out that many,well hopefully shell give me my invite later on today
549,have you heard about jessicas party on saturday,ive heard about it but im still waiting for my invitation
550,ive heard about it but im still waiting for my invitation,really i got mine from her this morning
551,really i got mine from her this morning,im guessing that shes going to give me my invite today or tomorrow
552,im guessing that shes going to give me my invite today or tomorrow,youre probably right do you intend on going to the party
553,youre probably right do you intend on going to the party,i want to i heard its going to be really fun
554,i want to i heard its going to be really fun,i know it does sound pretty awesome
555,i know it does sound pretty awesome,well when does the party start
556,well when does the party start,its supposed to start at about eight
557,its supposed to start at about eight,how many invitations has she given out
558,how many invitations has she given out,i really dont know but i dont think she gave out that many yet
559,i really dont know but i dont think she gave out that many yet,i really want to go so i hope that she gives me my invite soon
560,has anyone told you about jessicas party coming up,i was told about it already im just waiting for my invitation
561,i was told about it already im just waiting for my invitation,is that right i already got my invitation from her earlier
562,is that right i already got my invitation from her earlier,i believe that she will give me the invitation today
563,i believe that she will give me the invitation today,are you even going to go
564,are you even going to go,yeah it sounds like its going to be the best party of the year
565,yeah it sounds like its going to be the best party of the year,exactly it seems like its going to be loads of fun
566,exactly it seems like its going to be loads of fun,when exactly does the party start
567,when exactly does the party start,the invitation says it starts at 800 pm
568,the invitation says it starts at 800 pm,has she given out a lot of invitations yet
569,has she given out a lot of invitations yet,i have no idea she hasnt given out many though
570,hey whats up,nothing really
571,nothing really,im throwing a party on friday
572,im throwing a party on friday,i didnt realize that
573,i didnt realize that,you didnt
574,you didnt,nobody has told me anything about your party
575,nobody has told me anything about your party,did you want to go
576,did you want to go,when does it start
577,when does it start,at 800 pm
578,at 800 pm,ill be there
579,ill be there,id better see you there
580,id better see you there,of course
581,whats going on with you,fine whats going on with you
582,fine whats going on with you,im having a party this friday
583,im having a party this friday,i had no idea
584,i had no idea,is that right
585,is that right,i didnt hear anything about it
586,i didnt hear anything about it,can you go
587,can you go,what time
588,what time,it starts at 8 oclock
589,it starts at 8 oclock,ill go
590,ill go,i hope that ill see you there
591,i hope that ill see you there,no doubt
592,whats going on,not much
593,not much,this friday im throwing a party
594,this friday im throwing a party,oh really i didnt know that
595,oh really i didnt know that,are you serious
596,are you serious,i havent heard anything about it
597,i havent heard anything about it,can you make it
598,can you make it,what time does it start
599,what time does it start,the party starts at 8
600,the party starts at 8,yeah i think ill go
